Fecha,Hospital_ID,Provincia,Ocupacion_Camas,Camas_UCI_Disp,Personal_Disp,Procedimientos_Cirugia,Hospitalizaciones_Respiratorias,Hospitalizaciones_Cardio,Mortalidad_General,Temperatura_Media_C,Precipitacion_mm,Fecha_M_A,ds,y
2021-01-18,B,Salamanca,88.5391362829838,27,68,26,40,18,0.049173605169089855,23.172016279141474,1.9769030311448754,2021-01,2021-01-18,88.5391362829838
2021-01-19,B,Zamora,85.22580942392717,11,113,20,17,4,0.09286222607007577,16.884652386184708,3.188173228730047,2021-01,2021-01-19,85.22580942392717
2021-01-20,B,Segovia,94.20580064860576,38,140,41,36,32,0.041051515593210956,19.34591975607322,5.934964158218515,2021-01,2021-01-20,94.20580064860576
2021-01-21,A,Ávila,90.54947773070364,30,147,19,40,22,0.014925943623248731,18.581276566290363,2.1011777594021455,2021-01,2021-01-21,90.54947773070364
2021-01-22,A,Ávila,84.59528874105162,24,60,31,41,30,0.0283817895731586,18.203142817355122,1.1633172713326123,2021-01,2021-01-22,84.59528874105162
2021-01-23,B,Burgos,94.30850251344332,36,103,26,30,27,0.04768256289949158,21.167165047199806,9.701168864184321,2021-01,2021-01-23,94.30850251344332
2021-01-24,B,Zamora,76.86799490314937,40,94,13,26,34,0.029767143573511214,25.560471788874853,0.21981814809622913,2021-01,2021-01-24,76.86799490314937
2021-01-25,A,León,74.40553847167072,24,96,34,8,12,0.010020433439642998,18.26179398325854,8.026974053360217,2021-01,2021-01-25,74.40553847167072
2021-01-26,A,Ávila,74.49120294924202,32,61,30,35,35,0.09235013839727746,20.50018319554472,7.8803514957502205,2021-01,2021-01-26,74.49120294924202
2021-01-27,A,Salamanca,79.35224860486666,33,70,46,22,15,0.08594914701078361,20.863761402617435,2.9721411384509597,2021-01,2021-01-27,79.35224860486666
2021-01-28,C,Soria,76.6833208764285,22,60,47,42,39,0.07680630083382524,29.646847941531153,1.356266160073134,2021-01,2021-01-28,76.6833208764285
2021-01-29,C,Segovia,96.04252981427268,31,141,10,28,18,0.02510331360814258,29.319995353186034,1.4562864670542341,2021-01,2021-01-29,96.04252981427268
2021-01-30,C,Ávila,72.96335462720035,46,54,34,27,24,0.020832721858898746,27.00206374128114,6.974316172371925,2021-01,2021-01-30,72.96335462720035
2021-01-31,B,Salamanca,89.57174066510845,42,130,45,26,22,0.016084427452514483,18.624883812287777,6.428065910861736,2021-01,2021-01-31,89.57174066510845
2021-02-01,C,Salamanca,75.29820311398016,12,105,26,6,29,0.07516262698956291,16.020559711375046,7.827456742513867,2021-02,2021-02-01,75.29820311398016
2021-02-02,B,Segovia,94.6858397175698,28,69,33,35,18,0.09359271646190968,19.75356206580937,9.374811723991046,2021-02,2021-02-02,94.6858397175698
2021-02-03,B,León,96.9168280691774,32,90,11,15,36,0.048748223882173335,19.00191824150746,6.91927363266592,2021-02,2021-02-03,96.9168280691774
2021-02-04,C,Salamanca,83.03316024555954,38,95,49,32,34,0.020722660479644335,22.588887002195907,1.5585153655144346,2021-02,2021-02-04,83.03316024555954
2021-02-05,B,Soria,94.61400144638769,39,61,24,36,28,0.056115353865889596,26.665918651016895,2.434426167654107,2021-02,2021-02-05,94.61400144638769
2021-02-06,C,Salamanca,70.14406478113202,48,119,41,9,27,0.041394871671276715,27.87484408318287,8.421937308731145,2021-02,2021-02-06,70.14406478113202
2021-02-07,C,Salamanca,92.9585136874268,34,66,48,42,4,0.0437342431914998,27.672961281157626,2.0930607583420855,2021-02,2021-02-07,92.9585136874268
2021-02-08,A,Salamanca,76.40150452269786,46,68,15,14,14,0.06591975617401366,20.395133418346017,0.7252231695448141,2021-02,2021-02-08,76.40150452269786
2021-02-09,C,León,95.4436366595423,17,75,10,44,11,0.07468463019359821,25.308515151910242,7.032800540422505,2021-02,2021-02-09,95.4436366595423
2021-02-10,A,Ávila,70.03136312144306,25,97,32,28,14,0.019954323898584477,19.6925129628633,4.025263554901421,2021-02,2021-02-10,70.03136312144306
2021-02-11,C,Salamanca,85.5730885811132,17,101,48,39,28,0.013203120772582875,15.91358314852774,9.200400525459036,2021-02,2021-02-11,85.5730885811132
2021-02-12,C,Zamora,91.18580250597817,10,145,26,48,11,0.09948972724171434,25.523478984044132,6.502550710936616,2021-02,2021-02-12,91.18580250597817
2021-02-13,A,Ávila,77.24327325954143,14,119,43,27,12,0.03094555140239967,15.147413288546817,0.9041897779166075,2021-02,2021-02-13,77.24327325954143
2021-02-14,A,León,75.4077202084442,12,104,38,21,34,0.014844747241761318,21.137738811877327,9.478565672536607,2021-02,2021-02-14,75.4077202084442
2021-02-15,C,Palencia,72.35475028510356,10,149,18,5,36,0.027088779618632798,19.940689039531136,2.5855726364024587,2021-02,2021-02-15,72.35475028510356
2021-02-16,B,Ávila,79.1401401420922,13,124,22,35,22,0.01350620617136178,25.400663077782788,3.372124904062858,2021-02,2021-02-16,79.1401401420922
2021-02-17,A,Ávila,85.67564074464723,49,82,15,35,4,0.045262980515545455,26.493682091405685,4.022604136835421,2021-02,2021-02-17,85.67564074464723
2021-02-18,B,Valladolid,73.24362798984721,44,111,15,46,3,0.08221616060061919,19.561419539569258,0.5122429640431325,2021-02,2021-02-18,73.24362798984721
2021-02-19,B,Burgos,80.54747013563036,41,137,29,46,38,0.04071200047819486,27.174405216672803,4.965154222306048,2021-02,2021-02-19,80.54747013563036
2021-02-20,B,Valladolid,70.2540273302763,43,72,12,38,26,0.04997650661905299,19.408751407574005,1.2331849107529225,2021-02,2021-02-20,70.2540273302763
2021-02-21,A,Soria,92.92302377399557,34,64,26,13,29,0.0708028096210695,21.69489539979842,4.009703266883518,2021-02,2021-02-21,92.92302377399557
2021-02-22,B,Burgos,73.59656410660936,19,76,21,26,4,0.05580046630628922,25.90527790521201,3.5070978799208428,2021-02,2021-02-22,73.59656410660936
2021-02-23,A,Segovia,77.93360255143628,30,124,10,17,33,0.08753011174191919,25.393803438371826,7.728400834265034,2021-02,2021-02-23,77.93360255143628
2021-02-24,B,Segovia,70.51597612467009,48,113,26,29,16,0.0879432107541181,29.810527084683002,8.031705116327311,2021-02,2021-02-24,70.51597612467009
2021-02-25,C,León,82.10274194899034,36,130,12,22,4,0.010891962594203828,18.377415363238978,1.5341288238908801,2021-02,2021-02-25,82.10274194899034
2021-02-26,C,Burgos,93.52340207675412,36,100,35,16,31,0.08002416758348793,24.934768703093738,3.665511873792262,2021-02,2021-02-26,93.52340207675412
2021-02-27,A,Ávila,80.98023392046551,11,102,24,44,17,0.051466024021750656,24.14522862413666,3.733531610318317,2021-02,2021-02-27,80.98023392046551
2021-02-28,C,Segovia,75.02592505586733,22,127,45,21,14,0.09899564871732969,28.72647681735045,1.5141044393608505,2021-02,2021-02-28,75.02592505586733
2021-03-01,C,Salamanca,91.10356735341453,18,140,41,19,39,0.05349088682878917,17.345432124673124,7.984535050511905,2021-03,2021-03-01,91.10356735341453
2021-03-02,B,Zamora,92.08659549238084,45,131,41,46,30,0.09882063508494678,26.276972453803992,7.072283283354233,2021-03,2021-03-02,92.08659549238084
2021-03-03,A,Ávila,74.86509730861187,31,141,13,19,22,0.07791124250851629,23.524029244031524,1.9038178629703473,2021-03,2021-03-03,74.86509730861187
2021-03-04,B,Soria,91.58391503914771,35,100,27,19,26,0.03237443961519757,19.11998804681858,3.6672190859379903,2021-03,2021-03-04,91.58391503914771
2021-03-05,B,Salamanca,96.52434087117746,21,96,28,43,23,0.0584555481358262,22.11652371220761,1.0580502485651422,2021-03,2021-03-05,96.52434087117746
2021-03-06,B,Salamanca,74.65857243410363,26,53,44,17,12,0.09929220755307246,20.006648956046966,6.282065970930439,2021-03,2021-03-06,74.65857243410363
2021-03-07,B,Burgos,91.5875601908998,23,56,49,21,16,0.08717775469767314,23.689701041826915,1.2137192454861967,2021-03,2021-03-07,91.5875601908998
2021-03-08,B,León,89.84001612887363,23,84,23,36,39,0.0187630204412099,28.33500916221999,9.859341686249177,2021-03,2021-03-08,89.84001612887363
2021-03-09,B,Soria,83.26006887618247,43,97,42,13,20,0.07357347971289965,23.53957476618303,7.806820746878623,2021-03,2021-03-09,83.26006887618247
2021-03-10,B,Segovia,71.62177289564636,29,122,23,44,26,0.04110216272837318,24.47583627489876,3.9023854958399506,2021-03,2021-03-10,71.62177289564636
2021-03-11,A,Burgos,72.09144369721992,20,121,43,24,16,0.01062840356923133,22.781217706720643,5.7856393227935445,2021-03,2021-03-11,72.09144369721992
2021-03-12,C,Segovia,93.86761045756214,25,94,13,30,36,0.04631328721242997,15.76748259668214,9.113418162164088,2021-03,2021-03-12,93.86761045756214
2021-03-13,B,Burgos,97.72415443701811,40,130,33,31,14,0.031127897955247417,18.492878353141414,5.540992803958261,2021-03,2021-03-13,97.72415443701811
2021-03-14,B,Burgos,88.92946320122913,15,130,38,25,24,0.08369823434684244,22.380025941481243,1.7449848639795518,2021-03,2021-03-14,88.92946320122913
2021-03-15,B,Burgos,82.486832596289,28,146,28,22,8,0.0403597547961189,19.65352925617057,3.7870335558115933,2021-03,2021-03-15,82.486832596289
2021-03-16,B,León,88.13206201525341,46,145,15,17,38,0.08447713245584354,17.726453966417914,8.431448650297455,2021-03,2021-03-16,88.13206201525341
2021-03-17,B,Burgos,86.64308405839927,13,121,42,20,38,0.010053814495131578,22.561992628776576,6.442130159896179,2021-03,2021-03-17,86.64308405839927
2021-03-18,B,Palencia,80.74114329135742,13,68,49,13,24,0.037703723502350725,19.842146901717754,6.507243843338003,2021-03,2021-03-18,80.74114329135742
2021-03-19,C,Zamora,71.83753204807236,29,112,28,16,16,0.03170486928769858,18.87161464760122,8.668214856884891,2021-03,2021-03-19,71.83753204807236
2021-03-20,C,Segovia,93.00236252740835,19,87,10,48,18,0.031021062496174992,21.959781261605713,8.939730574625047,2021-03,2021-03-20,93.00236252740835
2021-03-21,B,Ávila,80.41133881868429,33,116,14,42,38,0.016136795778891645,16.999263871232596,9.197925717794362,2021-03,2021-03-21,80.41133881868429
2021-03-22,C,Valladolid,92.92599801399862,44,108,36,23,27,0.026841184336945156,28.91618599613111,0.948491932531561,2021-03,2021-03-22,92.92599801399862
2021-03-23,A,Soria,77.0702449912747,35,118,25,11,34,0.0599994612897058,28.015531468788588,5.4412600196310095,2021-03,2021-03-23,77.0702449912747
2021-03-24,B,León,70.02882543567773,46,62,15,39,35,0.036222496555397006,25.61430878610803,7.405095212183186,2021-03,2021-03-24,70.02882543567773
2021-03-25,A,Ávila,74.45027193174919,47,96,49,22,38,0.04756553040962332,16.593207413826843,7.569268451270138,2021-03,2021-03-25,74.45027193174919
2021-03-26,A,Salamanca,83.11910366952036,30,110,22,20,22,0.043918019231246976,26.638158817045394,6.067162019700039,2021-03,2021-03-26,83.11910366952036
2021-03-27,B,Palencia,96.44050177881924,49,80,44,43,20,0.08883144324999051,27.119359921635287,1.6678733518367417,2021-03,2021-03-27,96.44050177881924
2021-03-28,C,Valladolid,72.86142135142413,48,129,28,8,5,0.0914769099109464,26.516469265715067,7.974205539416643,2021-03,2021-03-28,72.86142135142413
2021-03-29,A,Ávila,93.91787368492385,30,145,21,29,25,0.05436612744902741,16.709488306788618,7.201113335149457,2021-03,2021-03-29,93.91787368492385
2021-03-30,B,Ávila,84.75667469393214,19,71,25,36,34,0.0397140355284044,24.658619356016473,0.8613577154903629,2021-03,2021-03-30,84.75667469393214
2021-03-31,A,Palencia,93.12578144239711,47,142,19,44,18,0.019612063360212727,27.51487193624098,4.638098246743763,2021-03,2021-03-31,93.12578144239711
2021-04-01,A,Valladolid,78.3544840677198,13,135,34,17,7,0.09580625914438856,23.660301018295016,1.7397739952180358,2021-04,2021-04-01,78.3544840677198
2021-04-02,A,Salamanca,93.51852061082921,29,92,29,49,6,0.01542042504102677,24.696110628421337,3.374770457129719,2021-04,2021-04-02,93.51852061082921
2021-04-03,A,Burgos,91.63903784047052,26,116,40,21,23,0.036788524981145244,21.875452191394594,0.18081092205685434,2021-04,2021-04-03,91.63903784047052
2021-04-04,C,Segovia,76.44150312488014,16,103,13,41,16,0.03682595810530038,22.93060979826079,4.003298684107582,2021-04,2021-04-04,76.44150312488014
2021-04-05,A,Salamanca,73.67738353946258,13,59,32,10,33,0.038836115752619346,15.515652875275878,5.498769211562104,2021-04,2021-04-05,73.67738353946258
2021-04-06,A,Burgos,94.3055210309042,38,91,11,23,16,0.02478581589451684,24.58444532959927,6.195825928270868,2021-04,2021-04-06,94.3055210309042
2021-04-07,A,León,96.9706262963237,23,113,31,17,8,0.08048452878313275,16.221708193367387,6.634903451287101,2021-04,2021-04-07,96.9706262963237
2021-04-08,C,Zamora,70.87646478493045,12,70,46,30,14,0.02102480757693903,21.525218915103352,8.3629131310246,2021-04,2021-04-08,70.87646478493045
2021-04-09,A,Soria,90.4755618752632,33,129,17,18,18,0.06714159932378466,19.38982646501112,2.1546290727573005,2021-04,2021-04-09,90.4755618752632
2021-04-10,A,Soria,95.46668630653892,46,125,16,35,19,0.021146142403523572,23.181419253175697,1.2048182243846794,2021-04,2021-04-10,95.46668630653892
2021-04-11,C,Segovia,94.00608257858997,25,115,23,8,25,0.016348207383366092,17.001245032848107,8.515371718979257,2021-04,2021-04-11,94.00608257858997
2021-04-12,C,Valladolid,97.00657322356584,13,90,12,43,16,0.0918486553317289,25.374651029599775,1.5661281489264989,2021-04,2021-04-12,97.00657322356584
2021-04-13,C,Palencia,91.28263419626671,33,73,25,12,9,0.027111588968683514,26.925173053927054,9.747600813361952,2021-04,2021-04-13,91.28263419626671
2021-04-14,A,Valladolid,82.38436534666549,43,84,28,29,34,0.0839125139103734,17.450316746147347,8.42538229398637,2021-04,2021-04-14,82.38436534666549
2021-04-15,C,Palencia,78.73465573386365,39,105,27,17,17,0.05901677839964223,16.564696310278233,5.008766058895992,2021-04,2021-04-15,78.73465573386365
2021-04-16,C,Valladolid,78.98079673226756,27,79,25,36,19,0.017007086764789264,17.18273224181039,9.814214249220253,2021-04,2021-04-16,78.98079673226756
2021-04-17,A,Zamora,90.28383483319527,28,106,17,42,36,0.09599033722942608,28.156913428477527,0.9737672910800421,2021-04,2021-04-17,90.28383483319527
2021-04-18,C,León,90.88343633686699,40,143,42,42,7,0.03222650502927033,22.922838926345342,3.0306576117510167,2021-04,2021-04-18,90.88343633686699
2021-04-19,A,León,75.61005601936395,28,96,21,32,29,0.08736808108173459,22.00891494011254,6.382244150406114,2021-04,2021-04-19,75.61005601936395
2021-04-20,B,Burgos,94.30743877773486,28,84,20,34,25,0.025192900520610777,16.600677286535316,3.5000686847317874,2021-04,2021-04-20,94.30743877773486
2021-04-21,C,León,90.01787312566293,31,68,14,7,16,0.08685485939276676,24.743340101354427,9.283725519807918,2021-04,2021-04-21,90.01787312566293
2021-04-22,B,León,85.75700801761471,33,57,36,32,17,0.01119059316147646,28.019993878426348,0.6562608817781757,2021-04,2021-04-22,85.75700801761471
2021-04-23,A,Salamanca,83.20290888287036,21,75,21,7,35,0.056060241091253266,27.422788039851795,5.494118320609646,2021-04,2021-04-23,83.20290888287036
2021-04-24,C,Salamanca,85.21051856211884,39,120,26,49,33,0.07924983214794011,24.39082063471202,5.908662673951145,2021-04,2021-04-24,85.21051856211884
2021-04-25,A,Burgos,74.4588806718194,47,79,15,38,37,0.09413159657435051,16.129180749775106,6.527281237772241,2021-04,2021-04-25,74.4588806718194
2021-04-26,B,Segovia,75.70363497973568,40,56,42,20,19,0.09182819225858384,16.685955407640193,2.5566622333181446,2021-04,2021-04-26,75.70363497973568
2021-04-27,A,Salamanca,72.55260573137336,45,116,14,26,30,0.08376623825928804,15.73963480664737,3.6456642751986443,2021-04,2021-04-27,72.55260573137336
2021-04-28,C,Segovia,74.30242506851116,28,114,37,36,21,0.08993722146951737,18.86218824738704,8.436805296649776,2021-04,2021-04-28,74.30242506851116
2021-04-29,C,Ávila,82.70342176894792,45,85,23,42,25,0.027929771725336887,17.034922007405665,1.9494276897015983,2021-04,2021-04-29,82.70342176894792
2021-04-30,B,Salamanca,84.84992302439117,39,74,14,12,34,0.03557658661405559,18.90072060378651,8.26867847173362,2021-04,2021-04-30,84.84992302439117
2021-05-01,A,Zamora,70.50013298939294,42,86,42,12,15,0.036007167242895266,20.775870835784424,5.626554229027424,2021-05,2021-05-01,70.50013298939294
2021-05-02,C,Burgos,92.31033918019277,27,50,28,10,22,0.0439348537901529,29.144741761067035,7.621875111940821,2021-05,2021-05-02,92.31033918019277
2021-05-03,B,Ávila,78.23670325361738,37,64,31,18,37,0.04539886033466699,24.15564089672538,7.136073662634716,2021-05,2021-05-03,78.23670325361738
2021-05-04,C,Zamora,95.53140897887751,20,86,14,36,7,0.0590099792189208,27.524606785244437,2.0751149538487903,2021-05,2021-05-04,95.53140897887751
2021-05-05,C,Zamora,97.09031538118577,42,62,11,39,11,0.024389178702979727,25.655272510684984,5.688127364338729,2021-05,2021-05-05,97.09031538118577
2021-05-06,A,Zamora,75.19284849094632,26,57,39,14,31,0.07221219974073904,16.687546957899475,8.677231528050925,2021-05,2021-05-06,75.19284849094632
2021-05-07,C,Segovia,82.9387241414385,15,54,48,7,8,0.025080988537405584,26.03880609560923,4.321162368019293,2021-05,2021-05-07,82.9387241414385
2021-05-08,A,Valladolid,70.03449138465993,13,109,13,16,27,0.03792776338940928,19.126483223386867,9.665907702233167,2021-05,2021-05-08,70.03449138465993
2021-05-09,C,Ávila,86.75316342342796,29,122,42,35,33,0.05530106175455387,24.586617704920595,4.52215100101718,2021-05,2021-05-09,86.75316342342796
2021-05-10,B,Palencia,87.00458055135479,36,50,22,33,24,0.08167965053711296,20.114429604644826,1.4278563666788469,2021-05,2021-05-10,87.00458055135479
2021-05-11,C,Ávila,76.9311187568945,24,85,29,9,4,0.07655223099148546,29.965083948969887,3.8943468007767326,2021-05,2021-05-11,76.9311187568945
2021-05-12,A,Valladolid,85.63555483232955,15,84,16,29,7,0.068098092076947,18.953272192451667,9.517024063905371,2021-05,2021-05-12,85.63555483232955
2021-05-13,A,Ávila,76.31512398842459,23,115,24,45,29,0.024019593452215316,19.186957061614045,3.1972084933985423,2021-05,2021-05-13,76.31512398842459
2021-05-14,B,León,74.50311313418932,20,112,32,35,27,0.059234081105402,28.960083833435974,8.680981598670629,2021-05,2021-05-14,74.50311313418932
2021-05-15,C,Palencia,88.24254507046341,48,72,23,25,10,0.01787018516198969,15.36966606954484,8.812506816818898,2021-05,2021-05-15,88.24254507046341
2021-05-16,C,Valladolid,79.1259129906581,18,58,32,24,3,0.04396268591169857,25.450334818097954,3.5018652433196107,2021-05,2021-05-16,79.1259129906581
2021-05-17,B,Segovia,86.52739028879742,35,83,28,43,22,0.04721648772609633,25.87989586103817,0.8325765805063212,2021-05,2021-05-17,86.52739028879742
2021-05-18,C,Soria,82.13090897120635,25,95,38,26,25,0.013583029550117845,27.54567866115599,7.245579091588183,2021-05,2021-05-18,82.13090897120635
2021-05-19,C,Valladolid,97.56183940728131,14,127,29,8,34,0.03465892895229747,29.61658965957713,3.1151229901398603,2021-05,2021-05-19,97.56183940728131
2021-05-20,A,Burgos,74.18825799469184,19,53,38,17,13,0.09600845205398405,29.634028787349784,7.8292361425757235,2021-05,2021-05-20,74.18825799469184
2021-05-21,C,Valladolid,83.00876070580269,12,79,33,49,26,0.09582693470467206,15.979151363496959,4.426548482604331,2021-05,2021-05-21,83.00876070580269
2021-05-22,C,León,89.0527855380611,22,144,27,46,13,0.04170943488272854,27.327589841293538,4.852667423426215,2021-05,2021-05-22,89.0527855380611
2021-05-23,B,Soria,81.07526234863913,39,124,19,24,31,0.013879009805349165,24.69464900486072,7.779094067485368,2021-05,2021-05-23,81.07526234863913
2021-05-24,B,León,97.29159585237932,15,148,17,17,28,0.02611854453953634,24.71013201559637,3.823633310616279,2021-05,2021-05-24,97.29159585237932
2021-05-25,A,Soria,90.21285358195418,26,121,35,21,18,0.04529960140901862,16.92524889922042,4.431273453229146,2021-05,2021-05-25,90.21285358195418
2021-05-26,C,Burgos,88.3955480118058,28,52,38,40,37,0.09530017281723069,24.752807496684802,3.761904687696221,2021-05,2021-05-26,88.3955480118058
2021-05-27,C,Segovia,91.19765949311426,44,63,19,37,22,0.022707915718346645,29.73723870901872,3.6734051527727996,2021-05,2021-05-27,91.19765949311426
2021-05-28,C,León,96.67416186508407,35,109,26,5,5,0.07871642593013911,28.677278543091703,5.259465769014594,2021-05,2021-05-28,96.67416186508407
2021-05-29,A,León,95.41892228356993,14,126,11,19,3,0.019781428543722286,21.586959912072757,8.087994445011507,2021-05,2021-05-29,95.41892228356993
2021-05-30,A,Zamora,90.27998862753954,38,94,15,17,3,0.09831318196521492,15.599219599291414,3.6176831192256587,2021-05,2021-05-30,90.27998862753954
2021-05-31,B,Soria,90.97652589483593,46,145,14,21,19,0.04434548491982215,20.434402350003072,5.242547205377367,2021-05,2021-05-31,90.97652589483593
2021-06-01,A,Salamanca,74.08581807298407,29,83,37,28,4,0.07977110850091504,27.395854674008326,6.707273254426008,2021-06,2021-06-01,74.08581807298407
2021-06-02,C,Soria,72.87818732579464,30,94,14,12,31,0.04083319745300187,25.52248652197749,2.6943944630365504,2021-06,2021-06-02,72.87818732579464
2021-06-03,C,Zamora,85.9853260516366,19,110,27,31,22,0.06649019894429278,21.890154833909346,2.7752280490239256,2021-06,2021-06-03,85.9853260516366
2021-06-04,A,Ávila,70.51429383433512,14,132,35,49,8,0.02728144762660331,15.826523027382466,9.334131270234549,2021-06,2021-06-04,70.51429383433512
2021-06-05,C,Soria,83.50597868344457,45,65,29,27,10,0.02314189173672663,21.40342091734954,7.235345733310886,2021-06,2021-06-05,83.50597868344457
2021-06-06,C,Segovia,75.88978823772833,15,115,36,12,31,0.09442577256113183,22.035374095768255,5.771866762233088,2021-06,2021-06-06,75.88978823772833
2021-06-07,A,Zamora,79.6884638940555,35,89,21,12,35,0.09258825501139901,28.92833299341204,6.47720054420612,2021-06,2021-06-07,79.6884638940555
2021-06-08,A,Ávila,91.72253260220276,13,66,16,30,5,0.08987220461915942,24.616291553732392,0.29299443103418366,2021-06,2021-06-08,91.72253260220276
2021-06-09,C,Palencia,96.35465011850683,48,83,12,17,37,0.06628901051499342,19.674793749819735,6.181029655616968,2021-06,2021-06-09,96.35465011850683
2021-06-10,C,Zamora,72.02765562009756,48,65,19,43,7,0.08274413900946505,22.879773966760823,5.095088732242019,2021-06,2021-06-10,72.02765562009756
2021-06-11,C,Palencia,84.95878176734047,44,109,43,41,29,0.016213324322023742,15.990829617332402,5.457496797794357,2021-06,2021-06-11,84.95878176734047
2021-06-12,B,León,94.7109376029488,10,115,34,32,14,0.04013101377016113,29.588523534746052,3.594238268308171,2021-06,2021-06-12,94.7109376029488
2021-06-13,B,Zamora,72.3102389643318,33,115,44,29,22,0.03823328122814407,20.40089852896089,0.8147389771294189,2021-06,2021-06-13,72.3102389643318
2021-06-14,B,Burgos,93.08639331311134,45,139,25,20,22,0.06720807897573519,22.168010323697036,1.9333923361205219,2021-06,2021-06-14,93.08639331311134
2021-06-15,A,Palencia,80.0184378259916,15,62,11,6,11,0.042036199612357654,20.329259613553837,9.507447132126718,2021-06,2021-06-15,80.0184378259916
2021-06-16,B,Segovia,79.0186516621414,40,105,33,22,6,0.023365610347931276,25.237675951743,4.08699562270934,2021-06,2021-06-16,79.0186516621414
2021-06-17,A,Burgos,97.369058816814,29,80,19,21,21,0.06368203678721894,24.933482374943896,4.666831558308642,2021-06,2021-06-17,97.369058816814
2021-06-18,A,Valladolid,75.62405451614424,33,83,47,34,29,0.08329455286021734,25.729834657937033,0.5270978985343899,2021-06,2021-06-18,75.62405451614424
2021-06-19,B,Valladolid,89.40943034303507,34,88,31,43,15,0.04439111450139759,19.02214844417881,0.3756622954398059,2021-06,2021-06-19,89.40943034303507
2021-06-20,B,Ávila,93.00034038427626,45,116,35,17,15,0.021904184358863356,19.73502721746099,7.171814470467577,2021-06,2021-06-20,93.00034038427626
2021-06-21,B,León,71.15313786781961,30,57,48,36,24,0.027701937758154077,16.87876846644312,5.380946641211112,2021-06,2021-06-21,71.15313786781961
2021-06-22,C,Zamora,88.77079283392354,39,136,36,33,30,0.03137349746524456,24.83264957769169,5.087059842162667,2021-06,2021-06-22,88.77079283392354
2021-06-23,B,Salamanca,96.64339928194916,33,127,38,34,24,0.036990783369508264,15.596956910034788,2.431245304226687,2021-06,2021-06-23,96.64339928194916
2021-06-24,C,Segovia,73.47815906838566,39,104,47,22,21,0.06785155634556783,23.965235032851886,7.447507316299222,2021-06,2021-06-24,73.47815906838566
2021-06-25,A,Palencia,95.09419647518106,31,76,29,17,10,0.06408509360839472,28.045438272774508,1.6823657910849188,2021-06,2021-06-25,95.09419647518106
2021-06-26,C,Burgos,86.65374584655422,37,142,36,47,10,0.07264718754103353,28.362482224344504,1.8993474366102003,2021-06,2021-06-26,86.65374584655422
