provincia,fecha,tmax,tmin,precip_mm,humedad_%,viento_kph
Burgos,2022-06-23,21,11,2.0,70,13
Burgos,2022-06-24,22,10,0.2,62,15
Burgos,2022-06-25,21,9,1.5,66,16
Burgos,2022-06-26,17,8,0.0,75,20
Burgos,2022-06-27,17,9,0.0,77,21
Burgos,2022-06-28,27,6,0.0,56,12
Burgos,2022-06-29,26,10,1.2,61,15
Burgos,2022-06-30,17,9,0.0,73,18
Burgos,2022-07-01,27,6,0.0,54,12
Burgos,2022-07-02,34,12,0.1,52,12
Burgos,2022-07-03,27,12,0.0,66,20
Burgos,2022-07-04,26,11,0.0,65,19
Burgos,2022-07-05,26,11,0.0,65,26
Burgos,2022-07-06,22,11,8.8,79,25
Burgos,2022-07-07,26,9,0.0,55,22
Burgos,2022-07-08,27,10,0.0,57,21
Burgos,2022-07-09,32,11,0.0,42,19
Burgos,2022-07-10,34,13,0.0,36,15
Burgos,2022-07-11,36,15,0.0,33,13
Burgos,2022-07-12,37,18,0.0,31,10
Burgos,2022-07-13,39,19,0.0,32,11
Burgos,2022-07-14,39,20,0.0,23,12
Burgos,2022-07-15,37,17,0.0,24,16
Burgos,2022-07-16,39,19,0.0,20,12
Burgos,2022-07-17,40,20,0.2,26,10
Burgos,2022-07-18,39,22,0.0,20,16
Burgos,2022-07-19,31,17,0.0,37,18
Burgos,2022-07-20,30,14,0.0,56,16
Burgos,2022-07-21,36,14,0.0,50,12
Burgos,2022-07-22,28,14,0.0,65,20
Burgos,2022-07-23,32,12,0.0,52,16
Burgos,2022-07-24,37,15,0.0,32,16
Burgos,2022-07-25,29,15,0.0,52,16
Burgos,2022-07-26,26,13,0.0,66,20
Burgos,2022-07-27,29,10,0.0,59,18
Burgos,2022-07-28,31,11,0.0,58,13
Burgos,2022-07-29,27,12,0.0,62,20
Burgos,2022-07-30,29,12,0.0,60,19
Burgos,2022-07-31,31,13,0.0,48,19
Burgos,2022-08-01,34,15,0.0,46,15
Burgos,2022-08-02,37,16,0.0,46,11
Burgos,2022-08-03,34,20,5.1,44,11
Burgos,2022-08-04,35,16,0.1,51,15
Burgos,2022-08-05,28,14,0.0,60,24
Burgos,2022-08-06,32,13,0.2,56,18
Burgos,2022-08-07,33,15,0.0,49,19
Burgos,2022-08-08,33,15,0.1,42,17
Burgos,2022-08-09,33,16,1.2,41,18
Burgos,2022-08-10,33,17,0.1,48,11
Burgos,2022-08-11,35,18,0.2,45,12
Burgos,2022-08-12,36,19,0.0,29,11
Burgos,2022-08-13,32,19,0.0,30,15
Burgos,2022-08-14,28,15,0.0,48,13
Burgos,2022-08-15,29,11,0.0,54,10
Burgos,2022-08-16,25,15,0.1,51,15
Burgos,2022-08-17,21,12,1.9,70,12
Burgos,2022-08-18,22,10,0.0,68,16
Burgos,2022-08-19,28,10,0.0,57,14
Burgos,2022-08-20,33,12,0.0,50,10
Burgos,2022-08-21,29,15,0.0,66,15
Burgos,2022-08-22,26,14,0.0,67,18
Burgos,2022-08-23,33,15,0.0,57,13
Burgos,2022-08-24,34,17,0.1,57,11
Burgos,2022-08-25,25,16,0.0,77,19
Burgos,2022-08-26,25,13,0.0,71,20
Burgos,2022-08-27,28,12,0.0,65,15
Burgos,2022-08-28,33,14,0.3,56,10
Burgos,2022-08-29,26,18,0.6,61,13
Burgos,2022-08-30,30,15,0.0,50,11
Burgos,2022-08-31,28,15,0.0,42,13
Burgos,2022-09-01,28,14,0.0,61,10
Burgos,2022-09-02,28,14,0.1,65,12
Burgos,2022-09-03,26,13,0.0,58,13
Burgos,2022-09-04,28,12,0.0,34,15
Burgos,2022-09-05,27,12,0.0,42,14
Burgos,2022-09-06,25,13,0.1,52,15
Burgos,2022-09-07,24,11,0.0,43,14
Burgos,2022-09-08,24,12,0.0,57,13
Burgos,2022-09-09,26,13,0.0,70,11
Burgos,2022-09-10,31,12,0.0,52,10
Burgos,2022-09-11,34,16,0.0,32,13
Burgos,2022-09-12,29,20,2.1,55,20
Burgos,2022-09-13,25,15,1.8,52,25
Burgos,2022-09-14,21,13,3.3,79,13
Burgos,2022-09-15,22,14,0.8,79,9
Burgos,2022-09-16,23,11,0.0,69,15
Burgos,2022-09-17,21,9,0.0,63,21
Burgos,2022-09-18,26,9,0.0,39,13
Burgos,2022-09-19,26,10,0.0,41,14
Burgos,2022-09-20,25,11,0.0,38,14
Burgos,2022-09-21,24,9,0.0,39,15
Burgos,2022-09-22,26,9,0.0,37,9
Burgos,2022-09-23,25,12,0.0,48,12
Burgos,2022-09-24,16,7,0.0,80,18
Burgos,2022-09-25,15,6,0.0,73,14
Burgos,2022-09-26,16,7,0.2,72,13
Burgos,2022-09-27,19,7,0.1,66,8
Burgos,2022-09-28,21,7,0.1,68,12
Burgos,2022-09-29,14,8,5.0,81,13
Burgos,2022-09-30,16,7,0.2,70,13
Burgos,2022-10-01,23,7,0.0,54,8
Burgos,2022-10-02,26,9,0.0,44,8
Burgos,2022-10-03,28,10,0.0,40,7
Burgos,2022-10-04,28,12,0.0,41,6
Burgos,2022-10-05,28,12,0.0,42,12
Burgos,2022-10-06,23,10,0.0,68,17
Burgos,2022-10-07,25,11,0.1,61,8
Burgos,2022-10-08,21,11,0.0,74,15
Burgos,2022-10-09,24,9,0.0,58,9
Burgos,2022-10-10,19,13,3.4,66,7
Burgos,2022-10-11,19,12,0.6,82,12
Burgos,2022-10-12,20,10,0.2,79,11
Burgos,2022-10-13,22,9,0.0,65,7
Burgos,2022-10-14,24,10,0.0,55,6
Burgos,2022-10-15,25,10,0.0,50,12
Burgos,2022-10-16,25,11,0.0,45,18
Burgos,2022-10-17,22,13,4.7,63,14
Burgos,2022-10-18,27,13,0.0,58,16
Burgos,2022-10-19,23,13,3.0,52,24
Burgos,2022-10-20,20,11,9.1,71,26
Burgos,2022-10-21,16,12,4.3,67,25
Burgos,2022-10-22,20,11,4.6,72,24
Burgos,2022-10-23,17,12,6.3,68,32
Burgos,2022-10-24,17,9,0.4,65,15
Burgos,2022-10-25,21,9,0.3,63,20
Burgos,2022-10-26,19,11,0.0,74,14
Burgos,2022-10-27,26,16,0.0,36,27
Burgos,2022-10-28,25,14,0.0,37,18
Burgos,2022-10-29,24,13,0.0,38,17
Burgos,2022-10-30,16,9,3.7,60,10
Burgos,2022-10-31,17,9,3.9,83,16
Burgos,2022-11-01,15,6,0.1,77,9
Burgos,2022-11-02,17,5,0.0,69,9
Burgos,2022-11-03,12,7,1.2,79,18
Burgos,2022-11-04,11,2,0.0,77,7
Burgos,2022-11-05,14,3,0.0,64,5
Burgos,2022-11-06,16,5,0.0,61,11
Burgos,2022-11-07,16,7,0.0,75,16
Burgos,2022-11-08,15,10,4.8,73,21
Burgos,2022-11-09,13,7,2.9,81,10
Burgos,2022-11-10,14,4,0.0,75,6
Burgos,2022-11-11,18,4,0.0,68,9
Burgos,2022-11-12,18,8,0.1,72,14
Burgos,2022-11-13,16,8,0.0,69,12
Burgos,2022-11-14,15,9,1.3,77,17
Burgos,2022-11-15,12,8,4.0,87,28
Burgos,2022-11-16,11,7,2.2,88,25
Burgos,2022-11-17,15,7,5.2,80,24
Burgos,2022-11-18,10,4,7.2,82,9
Burgos,2022-11-19,7,1,0.4,85,9
Burgos,2022-11-20,12,3,1.3,81,11
Burgos,2022-11-21,11,4,25.1,84,28
Burgos,2022-11-22,8,1,5.3,83,21
Burgos,2022-11-23,14,7,3.0,89,20
Burgos,2022-11-24,10,5,5.6,91,15
Burgos,2022-11-25,10,2,1.8,84,8
Burgos,2022-11-26,11,1,0.0,71,7
Burgos,2022-11-27,11,2,3.1,54,12
Burgos,2022-11-28,7,2,4.6,83,10
Burgos,2022-11-29,9,1,0.0,79,5
Burgos,2022-11-30,9,2,0.1,74,6
Burgos,2022-12-01,8,1,0.0,81,16
Burgos,2022-12-02,6,-2,0.0,78,10
Burgos,2022-12-03,5,-2,1.3,76,5
Burgos,2022-12-04,6,-3,0.0,77,7
Burgos,2022-12-05,9,2,2.3,83,9
Burgos,2022-12-06,9,5,1.4,94,5
Burgos,2022-12-07,11,5,0.1,88,6
Burgos,2022-12-08,8,5,11.3,93,12
Burgos,2022-12-09,7,6,4.0,94,13
Burgos,2022-12-10,6,2,0.3,88,13
Burgos,2022-12-11,4,1,4.2,93,6
Burgos,2022-12-12,11,3,12.1,95,20
Burgos,2022-12-13,11,8,17.8,94,21
Burgos,2022-12-14,10,8,5.7,89,19
Burgos,2022-12-15,8,5,2.2,89,12
Burgos,2022-12-16,8,4,1.2,90,7
Burgos,2022-12-17,9,2,0.0,87,10
Burgos,2022-12-18,10,3,0.0,84,15
Burgos,2022-12-19,12,3,0.0,75,16
Burgos,2022-12-20,11,8,4.4,81,25
Burgos,2022-12-21,11,6,1.2,88,19
Burgos,2022-12-22,12,8,1.2,93,21
Burgos,2022-12-23,13,8,0.6,85,25
Burgos,2022-12-24,13,6,0.0,80,22
Burgos,2022-12-25,13,5,0.8,80,21
Burgos,2022-12-26,12,7,2.7,82,12
Burgos,2022-12-27,11,6,1.1,81,9
Burgos,2022-12-28,10,5,1.3,85,18
Burgos,2022-12-29,9,7,12.2,92,23
Burgos,2022-12-30,11,9,1.1,91,31
Burgos,2022-12-31,15,6,0.0,75,21
Burgos,2023-01-01,15,8,0.0,54,26
Burgos,2023-01-02,10,3,2.5,78,12
Burgos,2023-01-03,7,0,0.0,75,5
Burgos,2023-01-04,7,-1,0.0,66,5
Burgos,2023-01-05,9,-0,0.0,75,3
Burgos,2023-01-06,6,-0,0.0,79,8
Burgos,2023-01-07,7,0,5.4,82,23
Burgos,2023-01-08,11,7,9.1,86,29
Burgos,2023-01-09,10,2,0.0,83,18
Burgos,2023-01-10,10,2,0.1,90,19
Burgos,2023-01-11,8,2,7.0,91,12
Burgos,2023-01-12,8,1,0.0,80,8
Burgos,2023-01-13,9,2,0.2,74,10
Burgos,2023-01-14,10,3,0.0,87,17
Burgos,2023-01-15,8,1,10.1,91,17
Burgos,2023-01-16,8,1,8.8,91,33
Burgos,2023-01-17,8,1,3.5,80,31
Burgos,2023-01-18,2,-2,1.8,84,20
Burgos,2023-01-19,4,-3,2.4,95,19
Burgos,2023-01-20,5,1,1.6,97,7
Burgos,2023-01-21,3,-1,0.0,89,13
Burgos,2023-01-22,3,-3,0.0,82,20
Burgos,2023-01-23,2,-2,0.3,85,26
Burgos,2023-01-24,1,-2,0.6,88,22
Burgos,2023-01-25,3,-3,0.0,85,18
Burgos,2023-01-26,3,-1,0.8,92,18
Burgos,2023-01-27,2,-1,1.3,95,23
Burgos,2023-01-28,2,-2,0.6,91,24
Burgos,2023-01-29,1,-2,0.4,89,21
Burgos,2023-01-30,3,-3,0.0,88,11
Burgos,2023-01-31,6,-3,0.0,90,14
Burgos,2023-02-01,6,1,0.2,87,18
Burgos,2023-02-02,10,-1,0.0,78,15
Burgos,2023-02-03,12,-1,0.0,63,10
Burgos,2023-02-04,10,0,0.0,51,13
Burgos,2023-02-05,7,1,0.0,82,25
Burgos,2023-02-06,6,-3,0.1,77,24
Burgos,2023-02-07,6,-4,0.1,80,12
Burgos,2023-02-08,7,-2,0.1,75,11
Burgos,2023-02-09,7,-1,0.0,72,11
Burgos,2023-02-10,9,-3,0.0,68,6
Burgos,2023-02-11,11,-3,0.0,62,7
Burgos,2023-02-12,11,-3,0.0,54,8
Burgos,2023-02-13,12,-0,0.0,68,11
Burgos,2023-02-14,12,0,0.0,56,14
Burgos,2023-02-15,12,0,0.0,69,8
Burgos,2023-02-16,13,1,0.0,70,9
Burgos,2023-02-17,15,1,0.0,66,7
Burgos,2023-02-18,16,-1,0.0,51,4
Burgos,2023-02-19,15,4,0.0,60,12
Burgos,2023-02-20,19,5,0.0,59,9
Burgos,2023-02-21,14,5,0.0,63,10
Burgos,2023-02-22,12,3,4.4,79,6
Burgos,2023-02-23,3,-1,19.6,96,16
Burgos,2023-02-24,2,-5,0.0,94,11
Burgos,2023-02-25,5,-5,0.3,84,7
Burgos,2023-02-26,2,-3,0.9,91,17
Burgos,2023-02-27,1,-5,0.4,84,26
Burgos,2023-02-28,1,-4,0.3,87,18
Burgos,2023-03-01,3,-5,0.8,86,11
Burgos,2023-03-02,6,-4,0.0,83,11
Burgos,2023-03-03,7,-4,0.0,81,10
Burgos,2023-03-04,7,-1,0.0,79,12
Burgos,2023-03-05,10,-3,0.5,74,10
Burgos,2023-03-06,7,2,1.6,91,11
Burgos,2023-03-07,10,5,2.5,87,25
Burgos,2023-03-08,12,7,2.8,87,32
Burgos,2023-03-09,13,7,1.8,82,31
Burgos,2023-03-10,16,6,0.2,75,28
Burgos,2023-03-11,17,8,0.1,74,24
Burgos,2023-03-12,19,9,0.0,75,15
Burgos,2023-03-13,16,7,0.4,69,28
Burgos,2023-03-14,11,2,0.0,72,19
Burgos,2023-03-15,16,1,0.0,65,8
Burgos,2023-03-16,19,6,0.0,53,13
Burgos,2023-03-17,12,7,2.6,69,20
Burgos,2023-03-18,10,3,0.8,82,15
Burgos,2023-03-19,12,2,0.3,74,6
Burgos,2023-03-20,16,3,0.0,64,8
Burgos,2023-03-21,18,4,0.1,52,7
Burgos,2023-03-22,16,6,0.3,56,15
Burgos,2023-03-23,17,6,0.0,48,19
Burgos,2023-03-24,17,6,1.1,62,21
Burgos,2023-03-25,16,3,0.9,60,19
Burgos,2023-03-26,14,3,0.8,61,25
Burgos,2023-03-27,15,1,0.0,60,7
Burgos,2023-03-28,20,4,0.0,44,9
Burgos,2023-03-29,22,8,0.0,46,16
Burgos,2023-03-30,19,8,0.0,59,23
Burgos,2023-03-31,16,8,0.4,63,28
Burgos,2023-04-01,13,3,2.1,66,15
Burgos,2023-04-02,11,2,0.0,70,19
Burgos,2023-04-03,13,1,0.0,73,17
Burgos,2023-04-04,14,2,0.0,64,21
Burgos,2023-04-05,15,-2,0.0,53,14
Burgos,2023-04-06,18,4,0.0,42,13
Burgos,2023-04-07,21,4,0.0,46,8
Burgos,2023-04-08,22,7,0.0,43,7
Burgos,2023-04-09,22,8,0.0,48,11
Burgos,2023-04-10,21,7,0.0,55,9
Burgos,2023-04-11,21,7,0.0,63,13
Burgos,2023-04-12,12,3,4.1,81,18
Burgos,2023-04-13,11,-0,0.2,70,16
Burgos,2023-04-14,16,5,1.4,71,17
Burgos,2023-04-15,13,5,0.0,86,12
Burgos,2023-04-16,17,6,0.0,60,16
Burgos,2023-04-17,16,2,0.0,53,18
Burgos,2023-04-18,17,3,0.0,66,15
Burgos,2023-04-19,22,4,0.0,58,7
Burgos,2023-04-20,23,8,0.0,50,12
Burgos,2023-04-21,23,6,0.8,58,14
Burgos,2023-04-22,17,8,5.6,65,15
Burgos,2023-04-23,19,6,1.4,66,19
Burgos,2023-04-24,20,6,0.0,67,12
Burgos,2023-04-25,22,8,0.0,70,14
Burgos,2023-04-26,24,9,0.0,69,11
Burgos,2023-04-27,25,11,0.0,50,11
Burgos,2023-04-28,27,12,0.0,52,10
Burgos,2023-04-29,20,11,1.2,64,12
Burgos,2023-04-30,18,9,0.3,77,15
Burgos,2023-05-01,20,6,0.0,67,12
Burgos,2023-05-02,26,6,0.0,38,8
Burgos,2023-05-03,29,13,0.0,37,14
Burgos,2023-05-04,20,11,0.0,60,16
Burgos,2023-05-05,23,7,0.0,53,10
Burgos,2023-05-06,22,9,2.5,58,9
Burgos,2023-05-07,20,8,0.0,77,14
Burgos,2023-05-08,23,7,0.0,55,9
Burgos,2023-05-09,16,8,1.5,76,14
Burgos,2023-05-10,16,5,0.0,65,16
Burgos,2023-05-11,15,4,0.2,70,17
Burgos,2023-05-12,12,5,3.9,72,16
Burgos,2023-05-13,13,5,0.0,74,18
Burgos,2023-05-14,14,7,0.9,79,16
Burgos,2023-05-15,13,4,0.7,76,17
Burgos,2023-05-16,14,4,0.3,68,23
Burgos,2023-05-17,16,3,0.0,65,30
Burgos,2023-05-18,15,6,0.0,69,28
Burgos,2023-05-19,13,5,1.0,74,25
Burgos,2023-05-20,15,4,0.0,76,18
Burgos,2023-05-21,17,4,0.2,76,16
Burgos,2023-05-22,19,7,0.2,75,20
Burgos,2023-05-23,18,9,1.2,83,20
Burgos,2023-05-24,19,10,1.5,80,20
Burgos,2023-05-25,17,7,0.1,77,22
Burgos,2023-05-26,19,6,3.1,75,16
Burgos,2023-05-27,24,9,1.6,63,9
Burgos,2023-05-28,21,10,6.2,72,9
Burgos,2023-05-29,23,11,11.5,78,12
Burgos,2023-05-30,20,10,13.2,78,9
Burgos,2023-05-31,20,11,7.3,80,10
Burgos,2023-06-01,19,10,9.6,80,10
Burgos,2023-06-02,22,9,6.5,75,6
Burgos,2023-06-03,21,11,4.8,75,8
Burgos,2023-06-04,23,10,0.6,71,9
Burgos,2023-06-05,25,12,9.2,60,7
Burgos,2023-06-06,25,11,0.0,70,7
Burgos,2023-06-07,21,14,3.1,81,11
Burgos,2023-06-08,23,13,20.1,78,12
Burgos,2023-06-09,20,12,14.8,80,14
Burgos,2023-06-10,23,12,0.5,74,10
Burgos,2023-06-11,22,13,2.8,74,8
Burgos,2023-06-12,23,11,1.9,76,7
Burgos,2023-06-13,18,11,12.4,92,9
Burgos,2023-06-14,23,11,0.1,71,13
Burgos,2023-06-15,25,11,0.0,64,10
Burgos,2023-06-16,29,12,0.0,58,7
Burgos,2023-06-17,31,15,15.6,67,10
Burgos,2023-06-18,26,15,0.7,74,12
Burgos,2023-06-19,22,14,8.2,82,12
Burgos,2023-06-20,22,13,6.1,78,9
Burgos,2023-06-21,22,12,15.7,85,12
Burgos,2023-06-22,23,13,2.0,77,10
Burgos,2023-06-23,28,12,0.0,65,10
Burgos,2023-06-24,31,14,0.0,51,8
Burgos,2023-06-25,31,16,0.2,55,11
Burgos,2023-06-26,25,13,0.0,72,21
Burgos,2023-06-27,25,12,0.0,74,21
Burgos,2023-06-28,26,12,0.0,65,19
Burgos,2023-06-29,21,12,0.9,68,22
Burgos,2023-06-30,21,10,0.0,65,19
Burgos,2023-07-01,26,10,0.0,69,14
Burgos,2023-07-02,27,12,0.0,68,16
Burgos,2023-07-03,26,13,0.4,73,16
Burgos,2023-07-04,29,12,0.0,62,13
Burgos,2023-07-05,25,12,0.3,68,13
Burgos,2023-07-06,28,13,0.2,69,12
Burgos,2023-07-07,31,15,0.2,53,15
Burgos,2023-07-08,30,14,0.0,41,13
Burgos,2023-07-09,31,15,0.0,52,12
Burgos,2023-07-10,35,15,0.0,52,12
Burgos,2023-07-11,35,15,0.0,50,16
Burgos,2023-07-12,27,13,0.3,61,15
Burgos,2023-07-13,30,14,0.0,61,12
Burgos,2023-07-14,34,16,0.0,42,17
Burgos,2023-07-15,28,13,0.0,56,18
Burgos,2023-07-16,29,10,0.0,62,17
Burgos,2023-07-17,32,12,0.0,53,16
Burgos,2023-07-18,36,17,0.0,39,16
Burgos,2023-07-19,30,14,0.0,59,17
Burgos,2023-07-20,29,12,0.0,62,15
Burgos,2023-07-21,25,12,0.0,67,17
Burgos,2023-07-22,30,10,0.0,65,13
Burgos,2023-07-23,32,12,0.0,52,14
Burgos,2023-07-24,26,13,0.2,64,13
Burgos,2023-07-25,26,10,0.0,60,14
Burgos,2023-07-26,29,11,0.0,59,11
Burgos,2023-07-27,32,13,1.2,56,12
Burgos,2023-07-28,32,14,0.0,54,13
Burgos,2023-07-29,31,15,0.0,58,14
Burgos,2023-07-30,29,14,0.0,64,15
